Source	Tag	Name	SR_LOCATION	Date
Parking Tickets	pticket		"2400 ROSEWOOD ST, Houston, TX"	3/31/13
Parking Tickets	pticket		"2600 FANNIN ST, Houston, TX"	3/31/13
Parking Tickets	pticket		"2600 FANNIN ST, Houston, TX"	3/31/13
Parking Tickets	pticket		"2500 WICHITA ST, Houston, TX"	3/31/13
Parking Tickets	pticket		"2400 ROSEWOOD ST, Houston, TX"	3/31/13
Parking Tickets	pticket		"1400 HAWTHORNE ST, Houston, TX"	3/31/13
Parking Tickets	pticket		"300 AVALON, Houston, TX"	3/31/13
Parking Tickets	pticket		"49 N SAN JACINTO ST, Houston, TX"	3/31/13
Parking Tickets	pticket		"49 N SAN JACINTO ST, Houston, TX"	3/31/13
Fake	dbag	The Drinkery	"4115 Washington Avenue, Houston TX"	5/18/13
Fake	dbag	Cadillac Bar	"1802 Shepherd Drive, Houston, TX"	5/18/13
Fake	dbag	Porch Swing Pub	"69 Heights Blvd, Houston, TX"	5/18/13
Fake	dbag	TQLA	"4601 Washington Avenue, Houston, TX"	5/18/13
