Source	Tag	Name	SR_LOCATION	Date
Valet	Valet	INN AT THE BALLPARK	1500 Texas	
Valet	Valet	LANCASTER HOTEL	700 TEXAS AVENUE	
Valet	Valet	MAGNOLIA HOTEL	1100 TEXAS EAST SIDE	
Valet	Valet	MORTON'S THE STEAKHOUSE	1000 McKinney	
Valet	Valet	NINFAS 	2700 NAVIGATION	
Valet	Valet	POST RICE LOFTS	900 TEXAS NORTH SIDE	
Valet	Valet	THE CORINTHIAN	200 FANNIN EAST SIDE	
Dog Friendly	doggies	Ziggy's Bar & Grill	"302 Fairview, Houston, TX 77006"	
Dog Friendly	doggies	Barnaby's Café/Baby Barnaby's	"604 Fairview, Houston, TX 77006"	
Dog Friendly	doggies	Barnaby's Café	"1701 S. Shepherd, Houston, TX 77019"	
Dog Friendly	doggies	Barnaby's Café	"5750 Woodway, Houston, TX 77057"	
Dog Friendly	doggies	Tila's Restaurante & Bar	"1111 S. Shepherd, Houston, TX 77019"	
Dog Friendly	doggies	Hugo's	"1600 Westheimer Rd, Houston, TX 77006"	
Dog Friendly	doggies	Back Street Café	"1103 S. Shepherd Dr., Houston, TX 77019"	
Dog Friendly	doggies	Canopy	"3939 Montrose Ste C, Houston, TX 77006"	
Dog Friendly	doggies	Little Big’s Montrose	"2703 Montrose, Houston, TX 77006"	
Dog Friendly	doggies	BlackFinn American Grill	"1910 Bagby, Suite 100, Houston, TX "	
Dog Friendly	doggies	Ziggy’s Bar & Grill Downtown 	"702 Main, Houston, TX "	
Dog Friendly	doggies	The Grove 	"1611 Lamar, Houston, TX 77010"	
Dog Friendly	doggies	The Lake House 	"1500 McKinney, Houston, TX 77010"	
Dog Friendly	doggies	The Front Porch Pub 	"217 Gray St., Houston, TX 77008"	
Dog Friendly	doggies	Pub Fiction 	"2303 Smith St. , Houston, TX 77006"	
Dog Friendly	doggies	Celtic Gardens	"2300 Louisiana , Houston, TX 77006"	
Dog Friendly	doggies	Inversion Coffee House 	"1953 Montrose, Houston, TX 77006"	
Dog Friendly	doggies	BRC 	"519 Shepherd , Houston, TX 77007"	
Dog Friendly	doggies	Starbucks 	"2029 West Gray , Houston, TX 77019"	
Dog Friendly	doggies	Starbucks 	"2050 West Gray , Houston, TX 77019"	
